Cost,Reset,Iterations,Solved,TimeInHC,Dev,Batterycap
3787.1,71.16,5328.53,0,0.96495000124,5,1500.75
3658.62,76.18,6592.11,0,1.15739998579,15,1500.75
3782.68,65.34,7121.32,0,1.2261299777,30,1500.75
3939.45,55.52,6134.09,1,1.05825001478,45,1500.75
3616.36,80.61,5771.98,0,1.06500999212,5,1501.5
3709.8,72.64,6172.37,0,1.11583998203,15,1501.5
3662.69,71.96,7442.52,0,1.35924999714,30,1501.5
3637.39,72.95,8553.81,4,1.55457999229,45,1501.5
3556.76,87.88,5868.31,0,1.13052999496,5,1502.25
3554.44,84.87,6640.31,0,1.19209001064,15,1502.25
3475.7,82.62,8241.01,0,1.42844998837,30,1502.25
3353.03,85.69,9975.6,29,1.7337400198,45,1502.25
3425.0,93.81,6407.37,0,1.17979000092,5,1503.0
3416.8,88.4,6905.45,0,1.23850001335,15,1503.0
3401.0,88.36,8936.09,1,1.56052998304,30,1503.0
3110.97,104.06,11523.6,55,2.00634001493,45,1503.0
3386.85,98.19,6235.23,1,1.16288001299,5,1503.75
3333.6,96.74,7212.61,0,1.29039000511,15,1503.75
3219.87,102.29,10187.8,3,1.78037999392,30,1503.75
2866.8,116.3,12456.83,78,2.17323998451,45,1503.75
3303.23,105.36,6336.23,1,1.18351999044,5,1504.5
3296.38,100.55,7556.7,0,1.36056999683,15,1504.5
3051.44,110.25,10114.83,11,1.79722999334,30,1504.5
2741.29,128.14,12878.85,82,2.43742000103,45,1504.5
3195.92,108.69,6491.34,3,1.30914001465,5,1505.25
3072.69,113.99,7804.36,0,1.46240999699,15,1505.25
2757.99,131.16,11473.04,26,2.08726001978,30,1505.25
2660.48,131.68,12526.2,90,2.21351999998,45,1505.25
3125.32,115.28,6632.13,4,1.25154000759,5,1506.0
2995.21,117.99,8488.8,1,1.53625000477,15,1506.0
2600.33,141.57,11997.43,61,2.12883000135,30,1506.0
2561.6,141.77,12725.39,96,2.24054000616,45,1506.0
3063.91,121.63,6983.38,7,1.3293799901,5,1506.75
2887.11,126.41,8616.33,3,1.56994001389,15,1506.75
2522.89,147.76,12034.36,70,2.14868000507,30,1506.75
2513.41,146.33,12816.51,100,2.26706999063,45,1506.75
2920.06,129.84,7369.44,12,1.41936000824,5,1507.5
2725.77,138.57,8793.32,6,1.61589999437,15,1507.5
2385.48,157.91,12603.63,92,2.26628000259,30,1507.5
2466.84,148.19,12736.21,100,2.25643001318,45,1507.5
2972.26,126.29,7009.74,13,1.34390999794,5,1508.25
2590.45,147.57,9294.97,23,1.72908000708,15,1508.25
2341.64,160.85,12221.62,99,2.21188999414,30,1508.25
2426.72,153.96,12947.29,97,2.30422998905,45,1508.25
2809.5,135.98,7401.85,14,1.43824999332,5,1509.0
2485.07,156.97,9831.3,46,1.84280999899,15,1509.0
2330.04,162.33,11886.69,97,2.1640199852,30,1509.0
2420.34,153.57,11998.57,100,2.15385000467,45,1509.0
2759.57,142.46,7774.58,18,1.51688000202,5,1509.75
2376.77,164.42,9697.17,66,1.84271001101,15,1509.75
2311.55,164.37,10945.52,100,2.01269999743,30,1509.75
2401.56,157.01,12362.74,99,2.21530999899,45,1509.75
2577.21,152.58,7530.42,35,1.51103000402,5,1510.5
2273.43,174.4,9873.04,84,1.89258001089,15,1510.5
2291.2,166.89,11141.3,100,2.05068000317,30,1510.5
2380.65,159.44,11933.39,99,2.14689998388,45,1510.5
2517.61,161.01,7789.94,44,1.56704999685,5,1511.25
2264.23,173.1,9736.3,91,1.87697000504,15,1511.25
2293.48,164.53,10593.83,100,1.9661300087,30,1511.25
2385.26,158.74,11470.93,100,2.07001999855,45,1511.25
2562.55,155.69,7587.24,36,1.53910000086,5,1512.0
2250.1,174.21,9433.29,95,1.82657000303,15,1512.0
2281.52,169.98,10752.83,100,1.99829999685,30,1512.0
2335.95,162.52,12043.87,100,2.18256999254,45,1512.0
2415.26,168.52,8019.46,54,1.64153001308,5,1512.75
2230.23,178.74,9456.72,97,1.85313000441,15,1512.75
2287.16,169.11,10404.84,99,1.93902999163,30,1512.75
2343.04,162.92,11512.08,100,2.0946200037,45,1512.75
2324.57,172.34,7870.2,71,1.62263000965,5,1513.5
2232.04,177.52,9125.82,98,1.78697000742,15,1513.5
2262.67,169.92,10581.47,100,1.98420001268,30,1513.5
2353.95,163.26,10949.8,100,1.99473000526,45,1513.5
2361.86,172.23,8110.16,62,1.67222998857,5,1514.25
2210.98,176.34,8963.53,100,1.75683999777,15,1514.25
2280.65,170.25,9719.32,100,1.82762000561,30,1514.25
2349.73,161.82,10668.81,100,1.94911000729,45,1514.25
2287.84,176.43,8053.55,76,1.68539999485,5,1515.0
2221.41,176.59,9197.72,99,1.81381001234,15,1515.0
2265.51,171.66,10110.84,100,1.90311000347,30,1515.0
2314.68,164.77,10878.25,100,2.00310999632,45,1515.0
2279.16,177.59,7855.77,76,1.65209999561,5,1515.75
2213.1,178.67,9130.99,100,1.8039400053,15,1515.75
2255.27,172.68,10140.08,100,1.91750999928,30,1515.75
2307.11,167.45,10872.57,100,2.00041001081,45,1515.75
2260.36,177.56,8036.68,85,1.69554001808,5,1516.5
2215.36,177.6,8446.34,100,1.67006000042,15,1516.5
2265.35,173.33,9742.58,100,1.84734001637,30,1516.5
2297.91,166.02,10752.39,100,1.98641999722,45,1516.5
2173.12,181.63,7978.72,92,1.68717999458,5,1517.25
2207.51,176.25,8991.18,100,1.78829999208,15,1517.25
2260.73,174.59,9709.0,100,1.8452899909,30,1517.25
2293.73,169.06,10831.5,100,2.01532000065,45,1517.25
2182.18,184.69,8051.84,92,1.84300998926,5,1518.0
2214.27,178.91,8841.96,100,1.75398999453,15,1518.0
2249.03,173.14,9666.75,100,1.85340999603,30,1518.0
2305.0,165.51,10502.97,100,1.96152000189,45,1518.0
2188.41,184.2,7898.65,91,1.69240000248,5,1518.75
2197.51,180.89,9055.51,100,1.81487999201,15,1518.75
2252.66,174.15,9490.28,100,1.81977000952,30,1518.75
2296.84,167.8,9842.93,100,1.83886000395,45,1518.75
2152.71,191.19,8316.36,96,1.80138999701,5,1519.5
2196.57,178.95,8838.37,100,1.76837999105,15,1519.5
2251.78,173.96,9513.89,100,1.82759999514,30,1519.5
2277.25,169.49,10285.0,100,1.92585999489,45,1519.5
2140.58,191.08,8366.51,97,1.79891999722,5,1520.25
2202.7,181.72,9149.21,100,1.8342800045,15,1520.25
2256.98,174.72,9531.74,100,1.83146999121,30,1520.25
2279.35,171.35,10184.32,100,1.90640000582,45,1520.25
2152.9,185.89,8109.21,96,1.74712999821,5,1521.0
2198.74,181.31,9025.94,100,1.8134100008,15,1521.0
2236.0,176.59,9484.91,100,1.83806999207,30,1521.0
2258.3,169.67,10279.82,100,2.21642998457,45,1521.0
2145.66,185.63,8084.67,98,1.91192999601,5,1521.75
2185.39,182.32,8868.29,100,1.98373000383,15,1521.75
2246.13,172.72,9259.23,100,2.13002001047,30,1521.75
2281.01,170.37,10586.68,100,2.1360400176,45,1521.75
